UF do Produto,URF,Código NCM,Países,Soma quantidades,Soma Frete
Bahia,Aeroporto Internacional de Salvador,84715010,Estados Unidos,1,554
Bahia,Aeroporto Internacional de Salvador,84715010,México,7,201
Bahia,Aeroporto Internacional de Salvador,84715010,Taiwan (Formosa),11,1008
Ceará,Aeroporto Internacional de Salvador,84715010,Espanha,1,178
Maranhão,Aeroporto Internacional de Fortaleza,84715010,Alemanha,2,26
Maranhão,Aeroporto Internacional de Fortaleza,84715010,China,2,22
Pernambuco,Aeroporto Internacional do Recife,84715010,Polônia,3,779
Bahia,Aeroporto Internacional de Salvador,84715010,China,1,33
Bahia,Aeroporto Internacional de Salvador,84715010,Estados Unidos,2,403
Ceará,Aeroporto Internacional de Fortaleza,84715010,Alemanha,6,620
