UF do Produto,URF,Código NCM,Países,Soma quantidades,Soma Frete
Rio Grande do Norte,Aeroporto Internacional de Natal,84715010,China,1,89
Alagoas,Aeroporto Internacional de Viracopos,84715010,Alemanha,1,5
Bahia,Aeroporto Internacional de Salvador,84715020,Estados Unidos,1,520
Bahia,Aeroporto Internacional de Guarulhos,84715010,Áustria,2,3
Bahia,Aeroporto Internacional de Viracopos,84715010,Polônia,1,134
Bahia,Aeroporto Internacional de Viracopos,84715020,China,1,14
Maranhão,Aeroporto Internacional do Rio de Janeiro,84715010,Estados Unidos,1,277
Paraíba,Aeroporto Internacional de Viracopos,84715010,China,11,438
Pernambuco,Aeroporto Internacional do Recife,84715020,Estados Unidos,2,979
Pernambuco,Aeroporto Internacional de Guarulhos,84715010,Itália,1,18
Bahia,Aeroporto Internacional de Salvador,84715010,China,3,1012
Bahia,Aeroporto Internacional de Salvador,84715020,Polônia,2,695
Bahia,Aeroporto Internacional de Viracopos,84715010,Hungria,1,70
Bahia,Aeroporto Internacional de Viracopos,84715010,Taiwan (Formosa),4,3128
Paraíba,Aeroporto Internacional do Rio de Janeiro,84715010,Hungria,1,706
Paraíba,Aeroporto Internacional do Rio de Janeiro,84715020,México,1,301
Pernambuco,Aeroporto Internacional do Recife,84715010,China,1,59
Pernambuco,Aeroporto Internacional do Recife,84715010,Dinamarca,1,755
Pernambuco,Aeroporto Internacional do Recife,84715010,Finlândia,1,785
